no,filename,mime,dimensions,decoded_size_kb,occurrences,contexts,suggested_external_url_placeholder
1,asset_077_121ba5f4697b.png,image/png,960x200,267.8,1,js=shop,https://你的图床域名/asset_077_121ba5f4697b.png
2,asset_079_56e4301649f0.png,image/png,960x200,259.9,1,js=shop,https://你的图床域名/asset_079_56e4301649f0.png
3,asset_081_8748fd3a616a.png,image/png,960x200,258.2,1,js=shop,https://你的图床域名/asset_081_8748fd3a616a.png
4,asset_002_e9a36ee67487.webp,image/webp,800x480,120.0,1,"dex:50} .pitch-line{height:6px;margin:4px 10px 0;border-radius:999px;background:linear-gradient(180deg, rgba(255,255,255,.98), rgba(230,240,255,.75));box-shadow:0 0 12px rgba(255,2...",https://你的图床域名/asset_002_e9a36ee67487.webp
5,asset_001_20295b13b408.webp,image/webp,800x405,83.4,3,"r{content:"""";position:absolute;top:0;bottom:0;width:12px;background:linear-gradient(180deg,#f7fbff 0%,#c4c8d5 35%,#9097a8 100%);box-shadow:0 0 16px rgba(255,255,255,.55);z-index:4}... | dius:16px; aspect-ratio:1.18/.70; background:linear-gradient(180deg,rgba(10,13,22,.88),rgba(13,19,26,.88)); border:2px solid rgba(228,238,255,.72); box-shadow:0 14px 30px rgba(0,0,... | p:2px;} .goal-wrap{margin:0 !important;} .goal-frame{position:relative; width:100%; aspect-ratio:1500/900 !important; border-radius:0 !important; overflow:visible !important; backg...",https://你的图床域名/asset_001_20295b13b408.webp
6,asset_078_4ec052d6cac5.png,image/png,960x200,57.9,1,js=invite,https://你的图床域名/asset_078_4ec052d6cac5.png
7,asset_076_edace865536e.png,image/png,960x200,57.3,1,js=invite,https://你的图床域名/asset_076_edace865536e.png
8,asset_080_0097cd834c9d.png,image/png,960x200,57.3,1,js=invite,https://你的图床域名/asset_080_0097cd834c9d.png
9,asset_068_6a56bcb6ddf1.webp,image/webp,220x1100,53.3,1,js=src,https://你的图床域名/asset_068_6a56bcb6ddf1.webp
10,asset_067_18f3118e94e6.webp,image/webp,220x1100,50.6,1,js=src,https://你的图床域名/asset_067_18f3118e94e6.webp
11,asset_007_f4b179c182d7.jpg,image/jpeg,800x516,49.2,1,":58px !important; height:58px !important; filter:drop-shadow(0 10px 14px rgba(0,0,0,.34)) !important;} .reward-item.special{width:70px !important; height:70px !important;} .reward-...",https://你的图床域名/asset_007_f4b179c182d7.jpg
12,asset_066_03307d5d6c6c.webp,image/webp,220x880,45.1,1,js=src,https://你的图床域名/asset_066_03307d5d6c6c.webp
13,asset_005_c48d448a2a90.jpg,image/jpeg,800x373,45.1,1,"pecial{width:56px;height:56px} .reward-item:hover{transform:translate(-50%,-50%) scale(1.06)} .reward-item.goal-hit{z-index:12} .player-zone{ height:222px; margin-top:-4px; backgro...",https://你的图床域名/asset_005_c48d448a2a90.jpg
14,asset_010_059702b4f67b.webp,image/webp,600x800,43.4,1,"-gradient(180deg, rgba(255,255,255,.04), rgba(255,255,255,0) 18%, rgba(255,255,255,0) 70%, rgba(5,10,16,.08)) !important;} .player-silhouette{left:50% !important; bottom:24px !impo...",https://你的图床域名/asset_010_059702b4f67b.webp
15,asset_003_11c888fdef2e.webp,image/webp,800x126,42.2,1,"radius:999px 999px 0 0 / 90px 90px 0 0;opacity:.92;filter:drop-shadow(0 0 8px rgba(255,255,255,.3))} .player-silhouette{position:absolute;left:50%;bottom:8px;transform:translateX(-...",https://你的图床域名/asset_003_11c888fdef2e.webp
16,asset_069_29fc2e507df8.webp,image/webp,220x880,40.1,1,js=src,https://你的图床域名/asset_069_29fc2e507df8.webp
17,asset_025_5673769a833a.png,image/png,960x200,40.1,1,alt=Leaderboard banner,https://你的图床域名/asset_025_5673769a833a.png
18,asset_006_c18325da8d64.jpg,image/jpeg,552x850,38.9,1,".reward-field{inset:34px 30px 38px}} /* ===== V4 layout overrides ===== */ html,body{background:#070c18 !important;} body{padding:0 !important; align-items:flex-start; justify-cont...",https://你的图床域名/asset_006_c18325da8d64.jpg
19,asset_013_977efa121bf0.jpg,image/jpeg,478x850,34.8,1,ant; left:10px !important; right:10px !important;} .goal-area{padding-top:134px !important;} .goal-wrap{margin:76px 0 -204px 0 !important;} .player-zone{padding-top:190px !importan...,https://你的图床域名/asset_013_977efa121bf0.jpg
20,asset_082_3422a40f3f1d.png,image/png,512x512,34.8,1,"team:['Torcida Raiz','Esquadrão do Gol','Fúria Canarinha','Bonde do Chute','Império da Bola','Tropa do Estádio','Ataque Relâmpago','Seleção Veloz','Clube da Virada','Bola no Ângulo...",https://你的图床域名/asset_082_3422a40f3f1d.png
21,asset_011_cc057afd1648.jpg,image/jpeg,478x850,32.6,1,) scale(.22); opacity:0;}} @media (max-width:380px){ .goal-wrap{margin-bottom:-64px !important;} .player-zone{padding-top:64px !important; height:250px !important;} .player-silhoue...,https://你的图床域名/asset_011_cc057afd1648.jpg
22,asset_083_b0fe286bc513.png,image/png,512x512,27.9,1,4r57k3U54h/CqgC0pze+E7a+fCZEH4GMISv0PzV/Mb942wSJ9cS9NnoUvyQX3jtGez57bXLra55u0OeRDJnZ2XoLVBG9LzcpGBAU8KR+TFcE95Qmrv0iORZAH77uid8G+jgNli0DpsfIQh03ykARWMPUjonBpUDa2qs06/Ox8Wc3e5QU5P+w...,https://你的图床域名/asset_083_b0fe286bc513.png
23,asset_029_f0863b6bba88.png,image/png,256x256,24.1,3,alt=Recarga rápida | js=diamond,https://你的图床域名/asset_029_f0863b6bba88.png
24,asset_030_ac6b9bec5fa6.png,image/png,256x256,23.2,3,alt=Diamante a balón | id=single-icon-refresh-script | id=v68-persist-icon-prize-patch,https://你的图床域名/asset_030_ac6b9bec5fa6.png
25,asset_052_875c9c702386.webp,image/webp,220x220,22.5,1,js=img,https://你的图床域名/asset_052_875c9c702386.webp
26,asset_049_5d8d34a2ff95.webp,image/webp,220x220,22.4,1,js=img,https://你的图床域名/asset_049_5d8d34a2ff95.webp
27,asset_050_d9d430a820a8.webp,image/webp,220x220,22.4,1,js=img,https://你的图床域名/asset_050_d9d430a820a8.webp
28,asset_051_18c1d28a3d85.webp,image/webp,220x220,22.3,1,js=img,https://你的图床域名/asset_051_18c1d28a3d85.webp
29,asset_053_4253579dfe94.webp,image/webp,220x220,22.0,1,js=img,https://你的图床域名/asset_053_4253579dfe94.webp
30,asset_032_d5c2e154401a.png,image/png,256x256,21.1,1,alt=Oferta Relámpago,https://你的图床域名/asset_032_d5c2e154401a.png
31,asset_024_02c17ab86e0e.webp,image/webp,300x450,19.8,2,"id=playerRunner | 4VFMYDuWA4L5J0WNRnliHmt8Tyg6qz+fAQXV6HArm1n7Mik30M4k0IDJl/zrfMv5YX6DqMxDY2tBiAwu0/MCgMeW9GAMonGqNSKtBya0P8MdcwiM1agE7x6dBjP3L7WPoF9MMwX0AAAA`, frames: 4 } }; const rewardLaneMap = ...",https://你的图床域名/asset_024_02c17ab86e0e.webp
32,asset_040_cea339ad2846.webp,image/webp,256x256,18.4,1,js=img,https://你的图床域名/asset_040_cea339ad2846.webp
33,asset_012_a6fb9a512550.webp,image/webp,256x256,18.1,2,100%{transform:translateX(28px) translateY(-18px) scale(.12); opacity:0;} } .flying-ball{ position:fixed !important; width:64px !important; height:64px !important; z-index:9999 !im... | id=flyingBall,https://你的图床域名/asset_012_a6fb9a512550.webp
34,asset_041_556d97f930fe.webp,image/webp,256x256,18.1,1,js=img,https://你的图床域名/asset_041_556d97f930fe.webp
35,asset_037_2f9ed6fbe55c.webp,image/webp,256x256,17.9,1,js=img,https://你的图床域名/asset_037_2f9ed6fbe55c.webp
